,Trial Name,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Shaft Speed Standard Deviation * M^2 / nu,Turbulence Intensity,Turbulence Intensity Uncertainty,L_ux / M,L_ux Uncertainty,Anisotropy,Re_lambda,Epsilon
68,fs_5.25_Ro_70_Std_2.53,20777.39434839027,70.0,0.029848337995765372,620.170689182058,0.12487520746577666,0.00778765070684483,2.6911950179898505,0.6683265076596845,1.2098380607989947,372.66818284052874,1.2349052010231376
69,fs_7.5_Ro_15_Std_0.14,28658.401269044378,15.0,0.0011974759277136166,34.317745646438006,0.11549627085765705,0.0071951112939792105,2.254105037031073,0.5109076115065128,1.1368935337355126,413.0872376923999,2.6619822741951595
70,fs_7.5_Ro_15_Std_0.93,28442.99531949078,15.0,0.008014904170025249,227.96788179419528,0.11513331105969801,0.007236092580453641,2.0938433772523326,0.3670712639394468,1.1246570888237932,409.0350080952409,2.6013175308286063
71,fs_7.5_Ro_15_Std_1.73,28734.38761372416,15.0,0.014758250330192596,424.06928548812664,0.11637535522448164,0.007312611340568945,2.130656534441494,0.3350167781707093,1.134724018645793,420.89464175683935,2.6712473100909686
72,fs_7.5_Ro_15_Std_2.53,28704.72579729411,15.0,0.02160517726459241,620.170689182058,0.11926001752068192,0.007508623584256285,2.353720825929037,0.24883555186398765,1.1553738770043527,435.75800265649957,2.737230509513939
73,fs_7.5_Ro_20_Std_0.14,28978.646046354555,20.0,0.0011842425485146186,34.31774564643799,0.12463903201813675,0.008269756526236443,2.263741679318672,0.4371289000246142,1.1408037244217417,463.54683894863666,2.9974394100854673
74,fs_7.5_Ro_20_Std_0.93,28994.263233654892,20.0,0.007862516800550499,227.96788179419522,0.12318086326219978,0.008245466776149473,2.1194476365748667,0.22061013508867053,1.1206476765411257,455.7103982663788,2.965189381719693
75,fs_7.5_Ro_20_Std_1.73,29236.10521080475,20.0,0.014504985613863637,424.06928548812664,0.12281114345839522,0.00820398318580037,2.0102959436772463,0.13357244942555999,1.120001327843072,463.1267292381075,2.932503236201539
76,fs_7.5_Ro_20_Std_2.53,29215.52798063008,20.0,0.021227433904094827,620.170689182058,0.1244778267400553,0.008174400835611394,2.18246231174802,0.1806059715895859,1.1505076290354308,472.0184225822933,2.971078165008971
77,fs_7.5_Ro_25_Std_0.14,29361.457761265407,25.0,0.0011688025140124713,34.31774564643799,0.12660341553072352,0.00860210618319269,2.2985917341933053,0.41527451861629433,1.1304408289703947,483.87065141366867,3.0863317899839613
78,fs_7.5_Ro_25_Std_0.93,29653.398849158337,25.0,0.007687748812668256,227.96788179419522,0.12624042972886207,0.008765918502620618,2.1605314707735523,0.18695103736949814,1.1053345071871767,487.54726013046957,3.1265642832500005
79,fs_7.5_Ro_25_Std_1.73,29357.55399719487,25.0,0.014444980175414023,424.06928548812664,0.12761681449953666,0.008717254363830031,2.331176290888689,0.1709571896948069,1.13230681923392,498.1262265124629,3.0049779256809335
80,fs_7.5_Ro_25_Std_2.53,29468.9303189747,25.0,0.02104489991558117,620.170689182058,0.12451689883648125,0.008050686457056139,2.577850711240427,0.4218253444538194,1.167477307178184,479.029940046246,2.989884306630782
81,fs_7.5_Ro_30_Std_0.14,29903.298934214723,30.0,0.001147624070572774,34.317745646438,0.12987669672670626,0.009054150730333327,2.316095145024544,0.46904240933131874,1.1274716295339875,512.2604482293767,3.2811699529235696
82,fs_7.5_Ro_30_Std_0.93,29749.245286894286,30.0,0.007662980341038234,227.96788179419525,0.1322484685986548,0.009542358472003269,2.1404471736043225,0.3163998253201947,1.1088536482489275,530.1846682534359,3.2256787788829526
83,fs_7.5_Ro_30_Std_1.73,29706.97679895188,30.0,0.014275073776712567,424.06928548812664,0.1300894214338155,0.008985691454733094,2.3020324453457643,0.34928576661559224,1.1386210238614916,517.528266026895,3.1516837823085058
84,fs_7.5_Ro_30_Std_2.53,29457.780724470693,30.0,0.021052865284820314,620.170689182058,0.1303678052321719,0.008340332973686575,3.191450497229699,0.6214470098810592,1.2237218326329498,516.4592035367398,3.086160470504983
